BioSample_s	BioSampleModel_s	Cultivar_s	Experiment_s	ID_s	InsertSize_l	LibraryLayout_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Plant_s	ReleaseDate_s	Rice_Field_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	env_biome_s	env_feature_s	env_material_s	geo_loc_name_s	host_s	lat_lon_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN02928920	MIMS.me	<not provided>	SRX660019	<not provided>	250	PAIRED	FieldRun1	2016-06-09	43	28	1	2014-07-26	Ditaler_19	SRR1524581	SRS665018	JE.Lundberg.25	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928921	MIMS.me	<not provided>	SRX660021	<not provided>	250	PAIRED	FieldRun1	2016-06-09	44	30	1	2014-07-26	Ditaler_19	SRR1524582	SRS665020	JE.Lundberg.26	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928922	MIMS.me	<not provided>	SRX660023	<not provided>	250	PAIRED	FieldRun1	2016-06-09	31	21	1	2014-07-26	Ditaler_19	SRR1524583	SRS665022	JE.Lundberg.27	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928923	MIMS.me	<not provided>	SRX660024	<not provided>	250	PAIRED	FieldRun1	2016-06-09	56	37	2	2014-07-26	Ditaler_19	SRR1524585	SRS665023	JE.Lundberg.28	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928924	MIMS.me	<not provided>	SRX660026	<not provided>	250	PAIRED	FieldRun1	2016-06-09	47	32	2	2014-07-26	Ditaler_19	SRR1524586	SRS665025	JE.Lundberg.29	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928925	MIMS.me	<not provided>	SRX660028	<not provided>	250	PAIRED	FieldRun1	2016-06-09	41	27	2	2014-07-26	Ditaler_19	SRR1524587	SRS665027	JE.Lundberg.30	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928927	MIMS.me	<not provided>	SRX660031	<not provided>	250	PAIRED	FieldRun1	2016-06-09	47	31	3	2014-07-26	Ditaler_19	SRR1524588	SRS665029	JE.Lundberg.32	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928926	MIMS.me	<not provided>	SRX660030	<not provided>	250	PAIRED	FieldRun1	2016-06-09	46	30	3	2014-07-26	Ditaler_19	SRR1524590	SRS665030	JE.Lundberg.31	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928928	MIMS.me	<not provided>	SRX660033	<not provided>	250	PAIRED	FieldRun1	2016-06-09	79	53	3	2014-07-26	Ditaler_19	SRR1524592	SRS665032	JE.Lundberg.33	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928930	MIMS.me	<not provided>	SRX660036	<not provided>	250	PAIRED	FieldRun1	2016-06-09	39	25	4	2014-07-26	Ditaler_19	SRR1524593	SRS665034	JE.Lundberg.35	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928929	MIMS.me	<not provided>	SRX660035	<not provided>	250	PAIRED	FieldRun1	2016-06-09	42	28	4	2014-07-26	Ditaler_19	SRR1524595	SRS665035	JE.Lundberg.34	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928931	MIMS.me	<not provided>	SRX660038	<not provided>	250	PAIRED	FieldRun1	2016-06-09	39	26	4	2014-07-26	Ditaler_19	SRR1524597	SRS665037	JE.Lundberg.36	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928932	MIMS.me	<not provided>	SRX660040	<not provided>	250	PAIRED	FieldRun1	2016-06-09	51	34	5	2014-07-26	Ditaler_19	SRR1524599	SRS665039	JE.Lundberg.37	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928933	MIMS.me	<not provided>	SRX660041	<not provided>	250	PAIRED	FieldRun1	2016-06-09	49	32	5	2014-07-26	Ditaler_19	SRR1524600	SRS665040	JE.Lundberg.38	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.75139 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929726	MIMS.me	IR50	SRX660044	JE.Soil.36	250	PAIRED	GHRun1	2016-06-09	23	13	<not provided>	2014-07-26	<not provided>	SRR1524429	SRS665043	JE.Soil.36	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929727	MIMS.me	Soil	SRX660045	JE.Soil.37	250	PAIRED	GHRun1	2016-06-09	29	17	<not provided>	2014-07-26	<not provided>	SRR1524431	SRS665044	JE.Soil.37	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Bulk Soil	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929728	MIMS.me	93-11	SRX660047	JE.Soil.38	250	PAIRED	GHRun1	2016-06-09	16	10	<not provided>	2014-07-26	<not provided>	SRR1524432	SRS665046	JE.Soil.38	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929729	MIMS.me	93-11	SRX660050	JE.Soil.39	250	PAIRED	GHRun1	2016-06-09	14	8	<not provided>	2014-07-26	<not provided>	SRR1524434	SRS665049	JE.Soil.39	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929730	MIMS.me	93-11	SRX660052	JE.Soil.40	250	PAIRED	GHRun1	2016-06-09	16	9	<not provided>	2014-07-26	<not provided>	SRR1524437	SRS665051	JE.Soil.40	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929731	MIMS.me	Soil	SRX660056	JE.Soil.41	250	PAIRED	GHRun1	2016-06-09	16	10	<not provided>	2014-07-26	<not provided>	SRR1524439	SRS665055	JE.Soil.41	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Bulk Soil	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929732	MIMS.me	Glab_E	SRX660058	JE.Soil.42	250	PAIRED	GHRun1	2016-06-09	18	11	<not provided>	2014-07-26	<not provided>	SRR1524440	SRS665057	JE.Soil.42	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929733	MIMS.me	Glab_E	SRX660060	JE.Soil.43	250	PAIRED	GHRun1	2016-06-09	15	9	<not provided>	2014-07-26	<not provided>	SRR1524443	SRS665059	JE.Soil.43	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929734	MIMS.me	Glab_E	SRX660063	JE.Soil.44	250	PAIRED	GHRun1	2016-06-09	16	9	<not provided>	2014-07-26	<not provided>	SRR1524446	SRS665062	JE.Soil.44	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929735	MIMS.me	Soil	SRX660065	JE.Soil.45	250	PAIRED	GHRun1	2016-06-09	16	9	<not provided>	2014-07-26	<not provided>	SRR1524447	SRS665064	JE.Soil.45	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Bulk Soil	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929736	MIMS.me	Glab_B	SRX660067	JE.Soil.46	250	PAIRED	GHRun1	2016-06-09	16	9	<not provided>	2014-07-26	<not provided>	SRR1524449	SRS665066	JE.Soil.46	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929737	MIMS.me	Glab_B	SRX660069	JE.Soil.47	250	PAIRED	GHRun1	2016-06-09	16	10	<not provided>	2014-07-26	<not provided>	SRR1524451	SRS665068	JE.Soil.47	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929738	MIMS.me	Glab_B	SRX660070	JE.Soil.48	250	PAIRED	GHRun1	2016-06-09	14	8	<not provided>	2014-07-26	<not provided>	SRR1524452	SRS665069	JE.Soil.48	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929739	MIMS.me	Nipponebare	SRX660072	JE.Soil.50	250	PAIRED	GHRun1	2016-06-09	63	38	<not provided>	2014-07-26	<not provided>	SRR1524454	SRS665071	JE.Soil.50	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929740	MIMS.me	Nipponebare	SRX660074	JE.Soil.51	250	PAIRED	GHRun1	2016-06-09	36	23	<not provided>	2014-07-26	<not provided>	SRR1524457	SRS665073	JE.Soil.51	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929741	MIMS.me	Nipponebare	SRX660108	JE.Soil.52	250	PAIRED	GHRun1	2016-06-09	29	16	<not provided>	2014-07-26	<not provided>	SRR1524458	SRS665107	JE.Soil.52	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929742	MIMS.me	M104	SRX660110	JE.Soil.54	250	PAIRED	GHRun1	2016-06-09	40	24	<not provided>	2014-07-26	<not provided>	SRR1524459	SRS665109	JE.Soil.54	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929743	MIMS.me	M104	SRX660112	JE.Soil.56	250	PAIRED	GHRun1	2016-06-09	28	16	<not provided>	2014-07-26	<not provided>	SRR1524460	SRS665111	JE.Soil.56	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929744	MIMS.me	Soil	SRX660113	JE.Soil.57	250	PAIRED	GHRun1	2016-06-09	22	13	<not provided>	2014-07-26	<not provided>	SRR1524461	SRS665112	JE.Soil.57	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Bulk Soil	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929745	MIMS.me	IR50	SRX660117	JE.Soil.58	250	PAIRED	GHRun2	2016-06-09	33	20	<not provided>	2014-07-26	<not provided>	SRR1524462	SRS665116	JE.Soil.58	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929746	MIMS.me	IR50	SRX660120	JE.Soil.59	250	PAIRED	GHRun1	2016-06-09	17	10	<not provided>	2014-07-26	<not provided>	SRR1524463	SRS665119	JE.Soil.59	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929747	MIMS.me	IR50	SRX660122	JE.Soil.60	250	PAIRED	GHRun1	2016-06-09	25	14	<not provided>	2014-07-26	<not provided>	SRR1524464	SRS665122	JE.Soil.60	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929748	MIMS.me	93-11	SRX660125	JE.Soil.62	250	PAIRED	GHRun1	2016-06-09	19	12	<not provided>	2014-07-26	<not provided>	SRR1524465	SRS665124	JE.Soil.62	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929749	MIMS.me	93-11	SRX660128	JE.Soil.63	250	PAIRED	GHRun1	2016-06-09	19	11	<not provided>	2014-07-26	<not provided>	SRR1524466	SRS665127	JE.Soil.63	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929750	MIMS.me	93-11	SRX660130	JE.Soil.64	250	PAIRED	GHRun1	2016-06-09	36	21	<not provided>	2014-07-26	<not provided>	SRR1524467	SRS665129	JE.Soil.64	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929751	MIMS.me	Glab_E	SRX660132	JE.Soil.66	250	PAIRED	GHRun1	2016-06-09	30	18	<not provided>	2014-07-26	<not provided>	SRR1524468	SRS665131	JE.Soil.66	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929752	MIMS.me	Glab_E	SRX660135	JE.Soil.67	250	PAIRED	GHRun1	2016-06-09	21	13	<not provided>	2014-07-26	<not provided>	SRR1524469	SRS665133	JE.Soil.67	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929753	MIMS.me	Glab_E	SRX660138	JE.Soil.68	250	PAIRED	GHRun1	2016-06-09	22	13	<not provided>	2014-07-26	<not provided>	SRR1524471	SRS665137	JE.Soil.68	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929754	MIMS.me	Glab_B	SRX660140	JE.Soil.70	250	PAIRED	GHRun1	2016-06-09	27	16	<not provided>	2014-07-26	<not provided>	SRR1524472	SRS665139	JE.Soil.70	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929755	MIMS.me	Glab_B	SRX660142	JE.Soil.71	250	PAIRED	GHRun1	2016-06-09	19	12	<not provided>	2014-07-26	<not provided>	SRR1524474	SRS665141	JE.Soil.71	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929756	MIMS.me	Glab_B	SRX660144	JE.Soil.72	250	PAIRED	GHRun1	2016-06-09	19	11	<not provided>	2014-07-26	<not provided>	SRR1524475	SRS665143	JE.Soil.72	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929757	MIMS.me	Nipponebare	SRX660146	JE.Soil.74	250	PAIRED	GHRun1	2016-06-09	61	36	<not provided>	2014-07-26	<not provided>	SRR1524477	SRS665145	JE.Soil.74	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929758	MIMS.me	Nipponebare	SRX660148	JE.Soil.75	250	PAIRED	GHRun1	2016-06-09	14	9	<not provided>	2014-07-26	<not provided>	SRR1524479	SRS665147	JE.Soil.75	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929759	MIMS.me	Nipponebare	SRX660151	JE.Soil.76	250	PAIRED	GHRun1	2016-06-09	18	11	<not provided>	2014-09-08	<not provided>	SRR1524481	SRS665150	JE.Soil.76	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929760	MIMS.me	M104	SRX660153	JE.Soil.78	250	PAIRED	GHRun1	2016-06-09	35	21	<not provided>	2014-07-26	<not provided>	SRR1524541	SRS665152	JE.Soil.78	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929761	MIMS.me	M104	SRX660155	JE.Soil.80	250	PAIRED	GHRun1	2016-06-09	22	12	<not provided>	2014-07-26	<not provided>	SRR1524559	SRS665154	JE.Soil.80	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929762	MIMS.me	IR50	SRX660157	JE.Soil.82	250	PAIRED	GHRun1	2016-06-09	32	19	<not provided>	2014-07-26	<not provided>	SRR1524560	SRS665156	JE.Soil.82	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929763	MIMS.me	IR50	SRX660159	JE.Soil.83	250	PAIRED	GHRun1	2016-06-09	19	11	<not provided>	2014-07-26	<not provided>	SRR1524561	SRS665158	JE.Soil.83	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929764	MIMS.me	IR50	SRX660161	JE.Soil.84	250	PAIRED	GHRun1	2016-06-09	14	8	<not provided>	2014-07-26	<not provided>	SRR1524563	SRS665160	JE.Soil.84	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929765	MIMS.me	93-11	SRX660164	JE.Soil.86	250	PAIRED	GHRun1	2016-06-09	19	11	<not provided>	2014-07-26	<not provided>	SRR1524565	SRS665163	JE.Soil.86	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Davis, California	Oryza sativa	38.543864 N 121.81223 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
